module,phase,name,code,sequence,workflow-file,command,required,agent,options,description,output-location,outputs
deepseek,0-intake,Pipeline Setup,INIT,1,_bmad/deepseek/workflows/0-intake/pipeline-setup/workflow.md,bmad-deepseek-pipeline-setup,false,deepseek-master,Create Mode,Initialize the training pipeline and verify infrastructure,_bmad/_memory/training/,Pipeline config
deepseek,1-collection,Export Training Pairs,ETP,10,_bmad/deepseek/workflows/1-collection/export-training-pairs/workflow.md,bmad-deepseek-export-training-pairs,true,training-curator,Create Mode,Convert QI episodes into training pairs,_bmad/_memory/training/pairs/,Training pairs
deepseek,1-collection,Collection Status,CTS,11,_bmad/deepseek/workflows/1-collection/collection-status/workflow.md,bmad-deepseek-collection-status,false,training-curator,Report Mode,Report on training corpus health and distribution,_bmad-output/,Status report
deepseek,1-collection,Quality Gate Review,QG,12,_bmad/deepseek/workflows/1-collection/quality-gate-review/workflow.md,bmad-deepseek-quality-gate,false,training-curator,Review Mode,Assess training pair quality distribution,_bmad-output/,Quality report
deepseek,2-evaluation,Shadow Evaluation,SE,20,_bmad/deepseek/workflows/2-evaluation/shadow-evaluation/workflow.md,bmad-deepseek-shadow-eval,true,evaluation-analyst,Evaluate Mode,Run blind comparison between Claude and DeepSeek,_bmad/_memory/training/evaluations/,Evaluation record
deepseek,2-evaluation,Evaluation Report,ER,21,_bmad/deepseek/workflows/2-evaluation/evaluation-report/workflow.md,bmad-deepseek-eval-report,false,evaluation-analyst,Report Mode,Show per-agent graduation readiness,_bmad-output/,Readiness report
deepseek,2-evaluation,Graduation Assessment,GA,22,_bmad/deepseek/workflows/2-evaluation/graduation-assessment/workflow.md,bmad-deepseek-graduation,true,evaluation-analyst,Assess Mode,Full graduation assessment for a specific agent,_bmad/_memory/training/graduation-reports/,Graduation report
deepseek,3-fine-tuning,Fine-Tune Cycle,FTC,30,_bmad/deepseek/workflows/3-fine-tuning/fine-tune-cycle/workflow.md,bmad-deepseek-fine-tune,true,deepseek-master,Execute Mode,Orchestrate a quarterly fine-tuning run,_bmad-output/,Fine-tune results
deepseek,3-fine-tuning,Fine-Tune Status,FTS,31,_bmad/deepseek/workflows/3-fine-tuning/fine-tune-status/workflow.md,bmad-deepseek-fine-tune-status,false,deepseek-master,Report Mode,Report on latest fine-tune results,_bmad-output/,Status report
deepseek,deepseek-quick-flow,Quick Spec,QS,90,_bmad/deepseek/workflows/deepseek-quick-flow/quick-spec/workflow.md,bmad-deepseek-quick-spec,false,deepseek-master,Quick Mode,Quick spec any deepseek deliverable,_bmad-output/,Spec
deepseek,deepseek-quick-flow,Quick Deliver,QD,91,_bmad/deepseek/workflows/deepseek-quick-flow/quick-deliver/workflow.md,bmad-deepseek-quick-deliver,false,deepseek-master,Quick Mode,Quick deliver any deepseek output,_bmad-output/,Deliverable
