module,phase,name,code,sequence,workflow-file,command,required,agent,options,description,output-location,outputs,
sos,0-intake,Doctrine Intake,DI,1,_bmad/sos/workflows/0-intake/doctrine-intake/workflow.md,bmad-agent-sos-master,false,sos-master,Create Mode,"Load Living Light doctrine, calibrate for project context",soul_artifacts,"doctrine calibration, project alignment",
sos,0-orchestration,Full Alignment Orchestration,FAO,2,_bmad/sos/workflows/0-orchestration/full-alignment-orchestration/workflow.md,bmad-agent-sos-master,false,sos-master,Create Mode,"Run all gates + council review across full engagement",soul_artifacts,"alignment report, council rulings",
sos,council,Invoke Council,IC,10,_bmad/sos/workflows/council/invoke-council/workflow.md,bmad-agent-sos-master,false,sos-master,Create Mode,"Full 7-member Stewardship Council deliberation and ruling",soul_artifacts/counsel,"council ruling",
sos,council,Invoke Oracle,IO,11,_bmad/sos/workflows/council/invoke-oracle/workflow.md,bmad-agent-oracle-of-soul-purpose,false,oracle-of-soul-purpose,Create Mode,"Oracle of Soul Purpose counsel on soul alignment",soul_artifacts/counsel,"oracle reading",
sos,council,Invoke Guardian,IG,12,_bmad/sos/workflows/council/invoke-guardian/workflow.md,bmad-agent-guardian-of-gaia,false,guardian-of-gaia,Create Mode,"Guardian of Gaia counsel on earth stewardship",soul_artifacts/counsel,"guardian assessment",
sos,council,Invoke Architect,IA,13,_bmad/sos/workflows/council/invoke-architect/workflow.md,bmad-agent-architect-of-sacred-systems,false,architect-of-sacred-systems,Create Mode,"Architect of Sacred Systems counsel on sovereignty",soul_artifacts/counsel,"architect assessment",
sos,council,Invoke Flame,IF,14,_bmad/sos/workflows/council/invoke-flame/workflow.md,bmad-agent-flame-of-cultural-restoration,false,flame-of-cultural-restoration,Create Mode,"Flame of Cultural Restoration counsel on cultural sensitivity",soul_artifacts/counsel,"flame assessment",
sos,council,Invoke Weaver,IW,15,_bmad/sos/workflows/council/invoke-weaver/workflow.md,bmad-agent-weaver-of-collective-futures,false,weaver-of-collective-futures,Create Mode,"Weaver of Collective Futures counsel on consent and generational impact",soul_artifacts/counsel,"weaver assessment",
sos,council,Invoke Steward,IS,16,_bmad/sos/workflows/council/invoke-steward/workflow.md,bmad-agent-steward-of-exchange,false,steward-of-exchange,Create Mode,"Steward of Exchange counsel on fair value and reciprocity",soul_artifacts/counsel,"steward assessment",
sos,council,Invoke Mirror,IM,17,_bmad/sos/workflows/council/invoke-mirror/workflow.md,bmad-agent-mirror-of-the-multiverse,false,mirror-of-the-multiverse,Create Mode,"Mirror of the Multiverse counsel on shadow and timelines",soul_artifacts/counsel,"mirror reading",
sos,gates,Soul Gate Review,SG,20,_bmad/sos/workflows/gates/soul-gate-review/workflow.md,bmad-agent-oracle-of-soul-purpose,false,oracle-of-soul-purpose,Validate Mode,"Does this align with soul purpose?",soul_artifacts/alignment,"soul gate report",
sos,gates,Earth Gate Review,EG,21,_bmad/sos/workflows/gates/earth-gate-review/workflow.md,bmad-agent-guardian-of-gaia,false,guardian-of-gaia,Validate Mode,"Does this honor the physical world?",soul_artifacts/alignment,"earth gate report",
sos,gates,Consent Gate Review,CG,22,_bmad/sos/workflows/gates/consent-gate-review/workflow.md,bmad-agent-weaver-of-collective-futures,false,weaver-of-collective-futures,Validate Mode,"Is there proper authority and informed consent?",soul_artifacts/alignment,"consent gate report",
sos,gates,Sovereignty Gate Review,SVG,23,_bmad/sos/workflows/gates/sovereignty-gate-review/workflow.md,bmad-agent-architect-of-sacred-systems,false,architect-of-sacred-systems,Validate Mode,"Does this preserve independence and systemic integrity?",soul_artifacts/alignment,"sovereignty gate report",
sos,gates,Four Gates Review,FGR,24,_bmad/sos/workflows/gates/four-gates-review/workflow.md,bmad-agent-sos-master,false,sos-master,Validate Mode,"All 4 Sacred Gates combined review",soul_artifacts/alignment,"four gates report",
sos,alignment,Values Alignment,VAR,30,_bmad/sos/workflows/alignment/values-alignment/workflow.md,bmad-agent-steward-of-exchange,false,steward-of-exchange,Validate Mode,"Score against 7 Divine Values",soul_artifacts/alignment,"values alignment report",
sos,alignment,Ethics Alignment,EAR,31,_bmad/sos/workflows/alignment/ethics-alignment/workflow.md,bmad-agent-steward-of-exchange,false,steward-of-exchange,Validate Mode,"Score against 7 Divine Ethics",soul_artifacts/alignment,"ethics alignment report",
sos,alignment,Morals Check,MVC,32,_bmad/sos/workflows/alignment/morals-check/workflow.md,bmad-agent-sos-master,false,sos-master,Validate Mode,"Check against 7 Inviolable Morals (hard stop on violation)",soul_artifacts/alignment,"morals check report",
sos,alignment,Sacred Law Counsel,SLC,33,_bmad/sos/workflows/alignment/sacred-law-counsel/workflow.md,bmad-agent-oracle-of-soul-purpose,false,oracle-of-soul-purpose,Create Mode,"Consult relevant Sacred Laws from the 50",soul_artifacts/counsel,"sacred law counsel",
sos,alignment,Full Alignment,FAR,34,_bmad/sos/workflows/alignment/full-alignment/workflow.md,bmad-agent-sos-master,false,sos-master,Validate Mode,"Comprehensive: values + ethics + morals + gates",soul_artifacts/alignment,"full alignment report",
sos,legion,Legion Activation,LA,40,_bmad/sos/workflows/legion/legion-activation/workflow.md,bmad-agent-sword-of-soul,false,sword-of-soul,Create Mode,"Full Legion protective review",soul_artifacts/legion,"legion activation report",
sos,legion,Shadow Integration,SI,41,_bmad/sos/workflows/legion/shadow-integration/workflow.md,bmad-agent-mirrorblade,false,mirrorblade,Create Mode,"Shadow work using Klippot framework",soul_artifacts/legion,"shadow integration report",
sos,legion,Klippah Assessment,KA,42,_bmad/sos/workflows/legion/klippah-assessment/workflow.md,bmad-agent-mirrorblade,false,mirrorblade,Validate Mode,"Identify which shells/distortions are present",soul_artifacts/legion,"klippah assessment",
sos,blessing,Project Blessing,PB,50,_bmad/sos/workflows/blessing/project-blessing/workflow.md,bmad-agent-sos-master,false,sos-master,Create Mode,"Ceremonial blessing for project launch",soul_artifacts/blessings,"project blessing",
sos,blessing,Milestone Blessing,MB,51,_bmad/sos/workflows/blessing/milestone-blessing/workflow.md,bmad-agent-sos-master,false,sos-master,Create Mode,"Bless phase completion or milestone achievement",soul_artifacts/blessings,"milestone blessing",
sos,blessing,Alignment Certification,AC,52,_bmad/sos/workflows/blessing/alignment-certification/workflow.md,bmad-agent-sos-master,false,sos-master,Create Mode,"Formal certification of spiritual alignment",soul_artifacts/certifications,"alignment certification",
sos,anytime,Quick Check,QC,,_bmad/sos/workflows/sos-quick-flow/sos-quick-check/workflow.md,bmad-agent-sos-quick-flow,false,sos-quick-flow,Validate Mode,"Quick alignment check against Living Light principles",soul_artifacts/alignment,"quick check report",
sos,anytime,Quick Counsel,QK,,_bmad/sos/workflows/sos-quick-flow/sos-quick-counsel/workflow.md,bmad-agent-sos-quick-flow,false,sos-quick-flow,Create Mode,"Quick spiritual counsel on any question or concern",soul_artifacts/counsel,"quick counsel",
