name,displayName,description,module,path,standalone
"editorial-review-prose","Editorial Review - Prose","Clinical copy-editor that reviews text for communication issues","core","_bmad/core/tasks/editorial-review-prose.xml","true"
"editorial-review-structure","Editorial Review - Structure","Structural editor that proposes cuts, reorganization, and simplification while preserving comprehension","core","_bmad/core/tasks/editorial-review-structure.xml","true"
"help","help","Get unstuck by showing what workflow steps come next or answering questions about what to do","core","_bmad/core/tasks/help.md","true"
"index-docs","Index Docs","Generates or updates an index.md of all documents in the specified directory","core","_bmad/core/tasks/index-docs.xml","true"
"review-adversarial-general","Adversarial Review (General)","Cynically review content and produce findings","core","_bmad/core/tasks/review-adversarial-general.xml","true"
"shard-doc","Shard Document","Splits large markdown documents into smaller, organized files based on level 2 (default) sections","core","_bmad/core/tasks/shard-doc.xml","true"
"ios-compliance-review-sec","SEC/FINRA Compliance Review","Review documents for SEC and FINRA regulatory compliance","ios","_bmad/ios/tasks/compliance-review-sec.xml","true"
"ios-validate-financial-model","Financial Model Validation","Stress-test financial model integrity, assumptions, and calculations","ios","_bmad/ios/tasks/validate-financial-model.xml","true"
"ios-check-document-completeness","Data Room Completeness Check","Verify data room document completeness against required deliverables","ios","_bmad/ios/tasks/check-document-completeness.xml","true"
"ios-validate-cross-references","Cross-Reference Validation","Validate all figures, claims, and data points are consistent across documents","ios","_bmad/ios/tasks/validate-cross-references.xml","true"
"ios-investor-readiness-scorecard","Investor Readiness Scorecard","Score investor readiness across 8 dimensions on a 0-100 scale","ios","_bmad/ios/tasks/investor-readiness-scorecard.xml","true"
"ios-review-valuation-methodology","Valuation Methodology Review","Review valuation methodology for soundness and defensibility","ios","_bmad/ios/tasks/review-valuation-methodology.xml","true"
"ios-review-entity-structure","Entity Structure Review","Review entity structure for legal soundness and tax efficiency","ios","_bmad/ios/tasks/review-entity-structure.xml","true"
"ios-validate-engagement-plan","Engagement Plan Validation","Validate engagement plan timeline, dependencies, and resource allocation","ios","_bmad/ios/tasks/validate-engagement-plan.xml","true"
"aos-compliance-content-review","Content Compliance Review","Review investor-facing content for regulatory compliance and accuracy","aos","_bmad/aos/tasks/compliance-content-review.xml","true"
"aos-sec-comment-response","SEC Comment Letter Response","Draft point-by-point response to SEC comment letter","aos","_bmad/aos/tasks/sec-comment-response.xml","true"
"aos-investor-update-generation","Investor Update Generation","Generate periodic investor update communication","aos","_bmad/aos/tasks/investor-update-generation.xml","true"
"aos-crisis-assessment","Crisis Severity Assessment","Assess crisis severity and recommend response level","aos","_bmad/aos/tasks/crisis-assessment.xml","true"
"aos-content-performance-analysis","Content Performance Analysis","Analyze campaign content performance metrics and recommend optimizations","aos","_bmad/aos/tasks/content-performance-analysis.xml","true"
"aos-brand-voice-check","Brand Voice Consistency Check","Review content for brand voice and visual identity consistency","aos","_bmad/aos/tasks/brand-voice-check.xml","true"
"aos-disclosure-completeness-check","Disclosure Completeness Check","Validate all required disclosures are present in investor-facing materials","aos","_bmad/aos/tasks/disclosure-completeness-check.xml","true"
"aos-offering-type-detection","Offering Type Detection","Detect offering regulation type and configure appropriate parameters","aos","_bmad/aos/tasks/offering-type-detection.xml","true"
"gos-content-audit","Content Audit","Audit existing content for gaps, optimization opportunities, and content-market fit","gos","_bmad/gos/tasks/content-audit.xml","true"
"gos-seo-audit","SEO Audit","Technical and content SEO audit with actionable recommendations","gos","_bmad/gos/tasks/seo-audit.xml","true"
"gos-campaign-performance-review","Campaign Performance Review","Analyze campaign performance metrics and recommend optimizations","gos","_bmad/gos/tasks/campaign-performance-review.xml","true"
"gos-pipeline-health-check","Pipeline Health Check","Review pipeline stages, conversion rates, velocity, and identify bottlenecks","gos","_bmad/gos/tasks/pipeline-health-check.xml","true"
"gos-brand-consistency-check","Product Brand Consistency Check","Review content across channels for product brand voice and visual consistency","gos","_bmad/gos/tasks/brand-consistency-check.xml","true"
"gos-channel-roi-analysis","Channel ROI Analysis","Compare channel performance and recommend budget reallocation","gos","_bmad/gos/tasks/channel-roi-analysis.xml","true"
"gos-competitor-content-analysis","Competitor Content Analysis","Analyze competitor content strategy, identify gaps and opportunities","gos","_bmad/gos/tasks/competitor-content-analysis.xml","true"
"gos-lead-scoring-validation","Lead Scoring Validation","Validate lead scoring model accuracy against actual conversion outcomes","gos","_bmad/gos/tasks/lead-scoring-validation.xml","true"
"qi-create-episode","Create Episode","Create structured episode record from workflow execution per episode schema","qi","_bmad/qi/tasks/create-episode.xml","false"
"qi-search-lessons","Search Lessons","Search intuition memory for relevant wisdom lessons matching a situation","qi","_bmad/qi/tasks/search-lessons.xml","false"
"qi-score-aiq","Score AIQ","Evaluate cognitive intelligence across 6 weighted dimensions (0-1000)","qi","_bmad/qi/tasks/score-aiq.xml","false"
"qi-score-miq","Score MIQ","Evaluate moral intelligence across 6 weighted dimensions (0-1000)","qi","_bmad/qi/tasks/score-miq.xml","false"
"qi-calculate-tis","Calculate TIS","Calculate True Intelligence Score from AIQ and MIQ with balance modifier","qi","_bmad/qi/tasks/calculate-tis.xml","false"
"qi-extract-lessons","Extract Lessons","Reflect on episode and extract structured wisdom lessons to memory","qi","_bmad/qi/tasks/extract-lessons.xml","false"
