source_module,source_workflow,recommended_sos_check,rationale
ios,create-raise-strategy,values-alignment,Ensure raise strategy aligns with Divine Values before capital planning proceeds
ios,create-investment-docs,morals-check,Legal documents must pass moral review to ensure no deception or exploitation
ios,deal-structure,four-gates-review,Deal terms must pass all four Sacred Gates to preserve sovereignty and consent
ios,create-entity-structure,sovereignty-gate-review,Entity design must not create dependency structures or compromise autonomy
ios,regulatory-compliance-routing,sacred-law-counsel,Compliance pathway must align with Sacred Laws especially Divine Order and Boundaries
ios,create-financial-model,ethics-alignment,Financial projections must meet transparency and reciprocity ethical standards
ios,investor-targeting,consent-gate-review,Investor outreach must ensure informed consent and avoid coercive sales tactics
aos,create-offering-circular,morals-check,Offering documents must never deceive and must present material facts with full transparency
aos,brand-voice-setup,council-quick-poll,Brand identity and voice must reflect Divine Values and pass council alignment review
aos,compliance-framework,sacred-law-counsel,Marketing compliance tied to Sacred Laws of Integrity and Truth
aos,create-investor-deck,values-alignment,Investor presentations must truthfully represent value without exploitation
aos,create-campaign,ethics-alignment,Campaign messaging must meet ethical standards for consent and transparency
aos,content-compliance-review,four-gates-review,All published content must pass Sacred Gates before distribution
gos,create-growth-strategy,values-alignment,Growth plans must align with Divine Values and not sacrifice principle for scale
gos,create-product-brand-voice,council-quick-poll,Product brand voice needs council review for cultural sensitivity and reverence
gos,create-paid-campaigns,ethics-alignment,Paid advertising must meet ethical standards and never exploit audience vulnerability
gos,create-partner-program,consent-gate-review,Partnership structures require informed consent and sovereignty preservation for all parties
gos,create-sales-scripts,morals-check,Sales language must never deceive or coerce and must honor free will of prospects
gos,create-closing-workflows,sovereignty-gate-review,Closing processes must preserve buyer sovereignty and avoid manufactured urgency
gos,launch-campaign,four-gates-review,Campaign launch is a major milestone requiring full Sacred Gates passage
