module,phase,name,code,sequence,workflow-file,command,required,agent,options,description,output-location,outputs,
ios,1-discovery,Create Raise Strategy,RS,10,_bmad/ios/workflows/1-discovery/create-raise-strategy/workflow.md,bmad-ios-create-raise-strategy,true,investment-strategist,Create Mode,"Guided facilitation to develop capital raise strategy with regulation pathway and investor targeting",planning_artifacts,"raise strategy",
ios,1-discovery,Create Strategic Foundation,SF,20,_bmad/ios/workflows/1-discovery/create-strategic-foundation/workflow.md,bmad-ios-create-strategic-foundation,true,narrative-director,Create Mode,"Vision, mission, value proposition, and market positioning",planning_artifacts,"strategic foundation",
ios,1-discovery,Market Research Investment,MR,30,_bmad/ios/workflows/1-discovery/market-research-investment/workflow.md,bmad-ios-market-research-investment,false,market-intelligence,Create Mode,"TAM/SAM/SOM analysis and market dynamics for investment context",planning_artifacts,"market research",
ios,1-discovery,Competitive Analysis,CA,40,_bmad/ios/workflows/1-discovery/competitive-analysis/workflow.md,bmad-ios-competitive-analysis,false,market-intelligence,Create Mode,"Competitive landscape and differentiation analysis",planning_artifacts,"competitive analysis",
ios,1-discovery,Investor Targeting,IT,50,_bmad/ios/workflows/1-discovery/investor-targeting/workflow.md,bmad-ios-investor-targeting,false,investment-strategist,Create Mode,"Investor personas and outreach strategy",planning_artifacts,"investor matrix",
ios,1-discovery,Deal Structure,DS,60,_bmad/ios/workflows/1-discovery/deal-structure/workflow.md,bmad-ios-deal-structure,false,investment-strategist,Create Mode,"Deal terms, instrument selection, and negotiation framework",planning_artifacts,"deal terms",
ios,1-discovery,Tier Routing,TR,70,_bmad/ios/workflows/1-discovery/tier-routing/workflow.md,bmad-ios-tier-routing,false,engagement-lead,Create Mode,"Package tier recommendation based on needs assessment",planning_artifacts,"tier recommendation",
ios,1-discovery,Create Engagement Plan,EP,80,_bmad/ios/workflows/1-discovery/create-engagement-plan/workflow.md,bmad-ios-create-engagement-plan,false,engagement-lead,Create Mode,"Project timeline, milestones, and resource allocation",planning_artifacts,"engagement plan",
ios,2-legal,Create Entity Structure,ES,10,_bmad/ios/workflows/2-legal/create-entity-structure/workflow.md,bmad-ios-create-entity-structure,true,securities-counsel,Create Mode,"Legal entity architecture, jurisdiction selection, governance",planning_artifacts,"entity structure",
ios,2-legal,Regulatory Compliance Routing,RC,20,_bmad/ios/workflows/2-legal/regulatory-compliance-routing/workflow.md,bmad-ios-regulatory-compliance-routing,false,securities-counsel,Create Mode,"Compliance requirements mapping and filing roadmap",planning_artifacts,"compliance roadmap",
ios,2-legal,Create Investment Docs,ID,30,_bmad/ios/workflows/2-legal/create-investment-docs/workflow.md,bmad-ios-create-investment-docs,true,securities-counsel,Create Mode,"PPM, subscription agreements, operating agreements, risk factors",planning_artifacts,"investment docs",
ios,3-financial,Create Financial Model,FM,10,_bmad/ios/workflows/3-financial/create-financial-model/workflow.md,bmad-ios-create-financial-model,true,financial-modeler,Create Mode,"12-tab institutional-grade financial model specification",planning_artifacts,"financial model spec",
ios,3-financial,Create Valuation Report,VR,20,_bmad/ios/workflows/3-financial/create-valuation-report/workflow.md,bmad-ios-create-valuation-report,true,financial-modeler,Create Mode,"9-point valuation analysis with multiple methodologies",planning_artifacts,"valuation report",
ios,3-financial,Model Cap Table,CT,30,_bmad/ios/workflows/3-financial/model-cap-table/workflow.md,bmad-ios-model-cap-table,false,financial-modeler,Create Mode,"Cap table with dilution waterfall and round modeling",planning_artifacts,"cap table",
ios,3-financial,Validate Financial Model,VM,40,_bmad/ios/workflows/3-financial/validate-financial-model/workflow.md,bmad-ios-validate-financial-model,false,financial-modeler,Validate Mode,"Stress-test model integrity, assumptions, and calculations",planning_artifacts,"model validation",
ios,3-financial,Create Staffing Model,SM,50,_bmad/ios/workflows/3-financial/create-staffing-model/workflow.md,bmad-ios-create-staffing-model,false,operations-strategist,Create Mode,"Organizational design and hiring plan linked to financials",planning_artifacts,"staffing model",
