deliverable,category,tier-clarity,tier-investment,tier-deployment,description
"Raise Strategy",discovery,required,required,required,"Capital raise strategy with regulation pathway"
"Strategic Foundation",discovery,required,required,required,"Vision, mission, value proposition, positioning"
"Market Research",discovery,required,required,required,"TAM/SAM/SOM analysis and market dynamics"
"Competitive Analysis",discovery,optional,required,required,"Competitive landscape and differentiation"
"Investor Targeting",discovery,optional,required,required,"Investor personas and outreach strategy"
"Deal Structure",discovery,not-included,required,required,"Deal terms and instrument selection"
"Entity Structure",legal,not-included,required,required,"Legal entity architecture and governance"
"Regulatory Compliance",legal,not-included,required,required,"Compliance roadmap and filing timeline"
"Investment Documents",legal,not-included,required,required,"PPM, subscription agreements, operating agreements"
"Financial Model",financial,optional,required,required,"12-tab institutional-grade financial model"
"Valuation Report",financial,not-included,required,required,"9-point valuation analysis"
"Cap Table Model",financial,not-included,required,required,"Cap table with dilution waterfall"
"Staffing Model",financial,not-included,optional,required,"Organizational design and hiring plan"
"Data Room",materials,not-included,required,required,"21+ document institutional data room"
"Investor Narrative",materials,optional,required,required,"Investment thesis and pitch narrative"
"Operational Blueprint",materials,not-included,optional,required,"SOPs, org chart, operational processes"
"Investor Platform Plan",materials,not-included,optional,required,"Investor portal architecture and design"
"Investor Platform Design",materials,not-included,not-included,required,"Design system and component library"
"Brand Guidelines",materials,optional,optional,required,"Brand voice and visual identity system"
"Investor Readiness Score",execution,required,required,required,"8-dimension readiness assessment"
"Quality Check",execution,optional,required,required,"Cross-deliverable quality validation"
