module,phase,name,code,sequence,workflow-file,command,required,agent,options,description,output-location,outputs,
aos,0-intake,Project Intake,INT,1,_bmad/aos/workflows/0-intake/project-intake/workflow.md,bmad-agent-aos-master,false,aos-master,Create Mode,"Import source docs, categorize, create master digest, identify gaps, generate project config",planning_artifacts,"source digest, project config",
aos,0-orchestration,Full Campaign Orchestration,ORCH,2,_bmad/aos/workflows/0-orchestration/full-campaign-orchestration/workflow.md,bmad-agent-aos-master,false,aos-master,Create Mode,"Auto-execute all workflows in dependency order with progress tracking and session resume",aos-orchestration,"progress tracker, all workflow outputs",
aos,1-strategy,Brand Voice Setup,BV,10,_bmad/aos/workflows/1-strategy-foundation/brand-voice-setup/workflow.md,bmad-aos-brand-voice-setup,true,aos-brand,Create Mode,"Establish brand voice and visual identity guidelines for investor communications",planning_artifacts,"brand voice",
aos,1-strategy,Compliance Framework,CF,20,_bmad/aos/workflows/1-strategy-foundation/compliance-framework/workflow.md,bmad-aos-compliance-framework,true,aos-compliance,Create Mode,"Create compliance review framework for all investor communications",planning_artifacts,"compliance framework",
aos,1-strategy,Investor Segmentation,IS,30,_bmad/aos/workflows/1-strategy-foundation/investor-segmentation/workflow.md,bmad-aos-investor-segmentation,false,aos-ir,Create Mode,"Investor persona development and communication preferences",planning_artifacts,"investor segments",
aos,1-strategy,Market Intelligence,MI,40,_bmad/aos/workflows/1-strategy-foundation/market-intelligence/workflow.md,bmad-aos-market-intelligence,false,aos-intel,Create Mode,"Competitive landscape, investor sentiment, and market trends",planning_artifacts,"market intelligence",
aos,2-content,Create Offering Circular,OC,10,_bmad/aos/workflows/2-content-production/create-offering-circular/workflow.md,bmad-aos-create-offering-circular,true,aos-content,Create Mode,"Full offering circular with all required disclosures and compliance review",planning_artifacts,"offering circular",
aos,2-content,Create Investor Deck,ID,20,_bmad/aos/workflows/2-content-production/create-investor-deck/workflow.md,bmad-aos-create-investor-deck,true,aos-content,Create Mode,"Investor presentation deck with narrative arc and data visualization",planning_artifacts,"investor deck",
aos,2-content,Create Email Campaign,EC,30,_bmad/aos/workflows/2-content-production/create-email-campaign/workflow.md,bmad-aos-create-email-campaign,false,aos-content,Create Mode,"Investor email drip sequence with compliance check",planning_artifacts,"email campaign",
aos,2-content,Create Video Scripts,VS,40,_bmad/aos/workflows/2-content-production/create-video-scripts/workflow.md,bmad-aos-create-video-scripts,false,aos-content,Create Mode,"Video content scripts for investor communications",planning_artifacts,"video scripts",
