id,name,phase,workflow,agent,output-file,dependencies,description
"RS","Raise Strategy","1-discovery","create-raise-strategy","investment-strategist","raise-strategy-{project_name}-{date}.md","","Capital raise strategy with amount, structure, and regulation pathway"
"SF","Strategic Foundation","1-discovery","create-strategic-foundation","narrative-director","strategic-foundation-{project_name}-{date}.md","","Vision, mission, value proposition, market positioning"
"MR","Market Research","1-discovery","market-research-investment","market-intelligence","market-research-{project_name}-{date}.md","","TAM/SAM/SOM analysis and market dynamics"
"CA","Competitive Analysis","1-discovery","competitive-analysis","market-intelligence","competitive-analysis-{project_name}-{date}.md","MR","Competitive landscape and differentiation analysis"
"IT","Investor Targeting","1-discovery","investor-targeting","investment-strategist","investor-matrix-{project_name}-{date}.md","RS","Investor personas and outreach strategy"
"DS","Deal Structure","1-discovery","deal-structure","investment-strategist","deal-terms-{project_name}-{date}.md","RS","Deal terms, instrument selection, and negotiation framework"
"TR","Tier Routing","1-discovery","tier-routing","engagement-lead","tier-recommendation-{project_name}-{date}.md","","Package tier recommendation based on needs assessment"
"EP","Engagement Plan","1-discovery","create-engagement-plan","engagement-lead","engagement-plan-{project_name}-{date}.md","TR","Project timeline, milestones, and resource allocation"
"ES","Entity Structure","2-legal","create-entity-structure","securities-counsel","entity-structure-{project_name}-{date}.md","RS","Legal entity architecture, jurisdiction, governance"
"RC","Regulatory Compliance","2-legal","regulatory-compliance-routing","securities-counsel","compliance-roadmap-{project_name}-{date}.md","RS,ES","Compliance requirements and filing roadmap"
"ID","Investment Documents","2-legal","create-investment-docs","securities-counsel","investment-docs-{project_name}-{date}.md","ES,RC","PPM, subscription agreements, operating agreements"
"FM","Financial Model","3-financial","create-financial-model","financial-modeler","financial-model-spec-{project_name}-{date}.md","RS,SF","12-tab institutional-grade financial model specification"
"VR","Valuation Report","3-financial","create-valuation-report","financial-modeler","valuation-report-{project_name}-{date}.md","FM,MR","9-point valuation analysis"
"CT","Cap Table","3-financial","model-cap-table","financial-modeler","cap-table-{project_name}-{date}.md","DS,FM","Cap table with dilution waterfall and round modeling"
"SM","Staffing Model","3-financial","create-staffing-model","operations-strategist","staffing-model-{project_name}-{date}.md","FM","Organizational design and hiring plan linked to financials"
"DR","Data Room","4-materials","create-data-room","data-room-architect","data-room-{project_name}-{date}.md","ES,FM,ID","21+ document institutional data room"
"IN","Investor Narrative","4-materials","create-investor-narrative","narrative-director","investor-narrative-{project_name}-{date}.md","SF,MR,FM","Investment thesis and pitch narrative"
"OB","Operational Blueprint","4-materials","create-operational-blueprint","operations-strategist","operational-blueprint-{project_name}-{date}.md","SM","SOPs, org chart, operational processes"
"PP","Platform Plan","4-materials","plan-investor-platform","platform-architect","platform-plan-{project_name}-{date}.md","SF,IN","Investor portal architecture specification"
"PD","Platform Design","4-materials","design-investor-platform","platform-architect","platform-design-{project_name}-{date}.md","PP","Design system and component library"
"BG","Brand Guidelines","4-materials","create-brand-guidelines","narrative-director","brand-guidelines-{project_name}-{date}.md","SF","Brand voice and visual identity system"
"IR","Investor Readiness","5-execution","investor-readiness","investment-strategist","readiness-scorecard-{project_name}-{date}.md","all-materials","8-dimension readiness score (0-100)"
