module,phase,name,code,sequence,workflow-file,command,required,agent,options,description,output-location,outputs,
oc,0-intake,Project Intake,INT,1,_bmad/oc/workflows/0-intake/project-intake/workflow.md,bmad-agent-oc-master,false,oc-master,Create Mode,"Assess OpenClaw instance, existing channels, QIE module usage, integration goals",planning_artifacts,"integration digest, project config",
oc,0-orchestration,Full Integration Orchestration,ORCH,2,_bmad/oc/workflows/0-orchestration/full-integration-orchestration/workflow.md,bmad-agent-oc-master,false,oc-master,Create Mode,"Auto-execute all workflows in dependency order with progress tracking",oc-orchestration,"progress tracker, all workflow outputs",
oc,1-discovery,Capability Mapping,CM,10,_bmad/oc/workflows/1-discovery/capability-mapping/workflow.md,bmad-oc-capability-mapping,true,integration-architect,Create Mode,"Map QIE modules and workflows to potential OpenClaw skills with priority ranking",planning_artifacts,"capability map",
oc,1-discovery,Channel Assessment,CA,20,_bmad/oc/workflows/1-discovery/channel-assessment/workflow.md,bmad-oc-channel-assessment,false,channel-strategist,Create Mode,"Assess which channels are active, needed, and prioritized for deployment",planning_artifacts,"channel assessment",
oc,1-discovery,Integration Strategy,IS,30,_bmad/oc/workflows/1-discovery/integration-strategy/workflow.md,bmad-oc-integration-strategy,true,integration-architect,Create Mode,"Define the overall QIE-to-OpenClaw bridge architecture and phased rollout plan",planning_artifacts,"integration strategy",
oc,2-architecture,Skill Architecture,SA,10,_bmad/oc/workflows/2-architecture/skill-architecture/workflow.md,bmad-oc-skill-architecture,true,skill-engineer,Create Mode,"Design the skill package structure, TypeScript patterns, and ClawHub publishing model",planning_artifacts,"skill architecture",
oc,2-architecture,Channel Routing,CR,20,_bmad/oc/workflows/2-architecture/channel-routing/workflow.md,bmad-oc-channel-routing,false,channel-strategist,Create Mode,"Design message routing from channels to QIE modules with intent classification",planning_artifacts,"channel routing design",
oc,2-architecture,Session Design,SD,30,_bmad/oc/workflows/2-architecture/session-design/workflow.md,bmad-oc-session-design,false,session-architect,Create Mode,"Design cross-channel session continuity, context threading, and state persistence",planning_artifacts,"session architecture",
oc,2-architecture,Security Model,SM,40,_bmad/oc/workflows/2-architecture/security-model/workflow.md,bmad-oc-security-model,true,security-guardian,Create Mode,"Design trust levels, whitelist rules, sandbox isolation, prompt injection defense",planning_artifacts,"security model",
oc,3-skills,Create Module Skill,MS,10,_bmad/oc/workflows/3-skills/create-module-skill/workflow.md,bmad-oc-create-module-skill,false,skill-engineer,Create Mode,"Build an OpenClaw skill for a specific QIE module (BuildOS, InvestOS, etc.)",implementation_artifacts,"module skill package",
oc,3-skills,Create Workflow Skill,WS,20,_bmad/oc/workflows/3-skills/create-workflow-skill/workflow.md,bmad-oc-create-workflow-skill,false,skill-engineer,Create Mode,"Build an OpenClaw skill for a specific QIE workflow",implementation_artifacts,"workflow skill package",
oc,3-skills,Create Automation,AU,30,_bmad/oc/workflows/3-skills/create-automation/workflow.md,bmad-oc-create-automation,false,automation-designer,Create Mode,"Build a cron job, webhook, or event-driven automation triggering QIE workflows",implementation_artifacts,"automation config",
oc,3-skills,Create Voice Skill,VS,40,_bmad/oc/workflows/3-skills/create-voice-skill/workflow.md,bmad-oc-create-voice-skill,false,skill-engineer,Create Mode,"Build a voice-activated skill with ElevenLabs integration",implementation_artifacts,"voice skill package",
oc,4-channels,Deploy Channel,DC,10,_bmad/oc/workflows/4-channels/deploy-channel/workflow.md,bmad-oc-deploy-channel,false,channel-strategist,Create Mode,"Set up and configure a specific messaging channel with security baseline",implementation_artifacts,"channel config",
oc,4-channels,Design Channel Experience,DE,20,_bmad/oc/workflows/4-channels/design-channel-experience/workflow.md,bmad-oc-design-channel-experience,false,channel-strategist,Create Mode,"Design Quinn's presence and personality adaptation for a specific channel",planning_artifacts,"channel experience design",
oc,4-channels,Configure Voice,CV,30,_bmad/oc/workflows/4-channels/configure-voice/workflow.md,bmad-oc-configure-voice,false,channel-strategist,Create Mode,"Set up voice interaction with ElevenLabs wake word and speech synthesis",implementation_artifacts,"voice config",
oc,5-operations,Integration Test,IT,10,_bmad/oc/workflows/5-operations/integration-test/workflow.md,bmad-oc-integration-test,false,skill-engineer,Validate Mode,"Test skill-to-QIE connectivity end-to-end with automated verification",planning_artifacts,"test results",
oc,5-operations,Channel Audit,AUD,20,_bmad/oc/workflows/5-operations/channel-audit/workflow.md,bmad-oc-channel-audit,false,security-guardian,Validate Mode,"Audit all active channels for health, security, and performance",planning_artifacts,"audit report",
oc,5-operations,Security Review,SR,30,_bmad/oc/workflows/5-operations/security-review/workflow.md,bmad-oc-security-review,false,security-guardian,Validate Mode,"Full security posture review across all channels, skills, and automations",planning_artifacts,"security review",
oc,anytime,Quick Spec,QS,,_bmad/oc/workflows/oc-quick-flow/oc-quick-spec/workflow.md,bmad-oc-quick-spec,false,oc-quick-flow,Create Mode,"Quick spec a single OC deliverable without full ceremony",planning_artifacts,"quick spec",
oc,anytime,Quick Deliver,QD,,_bmad/oc/workflows/oc-quick-flow/oc-quick-deliver/workflow.md,bmad-oc-quick-deliver,false,oc-quick-flow,Create Mode,"Quick deliver a single OC output without full ceremony",,
