name,description,module,path
"brainstorming","Facilitate interactive brainstorming sessions using diverse creative techniques and ideation methods","core","_bmad/core/workflows/brainstorming/workflow.md"
"party-mode","Orchestrates group discussions between all installed BMAD agents, enabling natural multi-agent conversations","core","_bmad/core/workflows/party-mode/workflow.md"
"create-product-brief","Create comprehensive product briefs through collaborative step-by-step discovery as creative Business Analyst working with the user as peers.","bmm","_bmad/bmm/workflows/1-analysis/create-product-brief/workflow.md"
"domain-research","Conduct domain research covering industry analysis, regulations, technology trends, and ecosystem dynamics using current web data and verified sources.","bmm","_bmad/bmm/workflows/1-analysis/research/workflow-domain-research.md"
"market-research","Conduct market research covering market size, growth, competition, and customer insights using current web data and verified sources.","bmm","_bmad/bmm/workflows/1-analysis/research/workflow-market-research.md"
"technical-research","Conduct technical research covering technology evaluation, architecture decisions, and implementation approaches using current web data and verified sources.","bmm","_bmad/bmm/workflows/1-analysis/research/workflow-technical-research.md"
"create-prd","Create a comprehensive PRD (Product Requirements Document) through structured workflow facilitation","bmm","_bmad/bmm/workflows/2-plan-workflows/create-prd/workflow-create-prd.md"
"edit-prd","Edit and improve an existing PRD - enhance clarity, completeness, and quality","bmm","_bmad/bmm/workflows/2-plan-workflows/create-prd/workflow-edit-prd.md"
"validate-prd","Validate an existing PRD against BMAD standards - comprehensive review for completeness, clarity, and quality","bmm","_bmad/bmm/workflows/2-plan-workflows/create-prd/workflow-validate-prd.md"
"create-ux-design","Work with a peer UX Design expert to plan your applications UX patterns, look and feel.","bmm","_bmad/bmm/workflows/2-plan-workflows/create-ux-design/workflow.md"
"check-implementation-readiness","Critical validation workflow that assesses PRD, Architecture, and Epics & Stories for completeness and alignment before implementation. Uses adversarial review approach to find gaps and issues.","bmm","_bmad/bmm/workflows/3-solutioning/check-implementation-readiness/workflow.md"
"create-architecture","Collaborative architectural decision facilitation for AI-agent consistency. Replaces template-driven architecture with intelligent, adaptive conversation that produces a decision-focused architecture document optimized for preventing agent conflicts.","bmm","_bmad/bmm/workflows/3-solutioning/create-architecture/workflow.md"
"create-epics-and-stories","Transform PRD requirements and Architecture decisions into comprehensive stories organized by user value. This workflow requires completed PRD + Architecture documents (UX recommended if UI exists) and breaks down requirements into implementation-ready epics and user stories that incorporate all available technical and design context. Creates detailed, actionable stories with complete acceptance criteria for development teams.","bmm","_bmad/bmm/workflows/3-solutioning/create-epics-and-stories/workflow.md"
"code-review","Perform an ADVERSARIAL Senior Developer code review that finds 3-10 specific problems in every story. Challenges everything: code quality, test coverage, architecture compliance, security, performance. NEVER accepts `looks good` - must find minimum issues and can auto-fix with user approval.","bmm","_bmad/bmm/workflows/4-implementation/code-review/workflow.yaml"
"correct-course","Navigate significant changes during sprint execution by analyzing impact, proposing solutions, and routing for implementation","bmm","_bmad/bmm/workflows/4-implementation/correct-course/workflow.yaml"
"create-story","Create the next user story from epics+stories with enhanced context analysis and direct ready-for-dev marking","bmm","_bmad/bmm/workflows/4-implementation/create-story/workflow.yaml"
"dev-story","Execute a story by implementing tasks/subtasks, writing tests, validating, and updating the story file per acceptance criteria","bmm","_bmad/bmm/workflows/4-implementation/dev-story/workflow.yaml"
"retrospective","Run after epic completion to review overall success, extract lessons learned, and explore if new information emerged that might impact the next epic","bmm","_bmad/bmm/workflows/4-implementation/retrospective/workflow.yaml"
"sprint-planning","Generate and manage the sprint status tracking file for Phase 4 implementation, extracting all epics and stories from epic files and tracking their status through the development lifecycle","bmm","_bmad/bmm/workflows/4-implementation/sprint-planning/workflow.yaml"
"sprint-status","Summarize sprint-status.yaml, surface risks, and route to the right implementation workflow.","bmm","_bmad/bmm/workflows/4-implementation/sprint-status/workflow.yaml"
"quick-dev","Flexible development - execute tech-specs OR direct instructions with optional planning.","bmm","_bmad/bmm/workflows/bmad-quick-flow/quick-dev/workflow.md"
"quick-spec","Conversational spec engineering - ask questions, investigate code, produce implementation-ready tech-spec.","bmm","_bmad/bmm/workflows/bmad-quick-flow/quick-spec/workflow.md"
"document-project","Analyzes and documents brownfield projects by scanning codebase, architecture, and patterns to create comprehensive reference documentation for AI-assisted development","bmm","_bmad/bmm/workflows/document-project/workflow.yaml"
"generate-project-context","Creates a concise project-context.md file with critical rules and patterns that AI agents must follow when implementing code. Optimized for LLM context efficiency.","bmm","_bmad/bmm/workflows/generate-project-context/workflow.md"
"qa-automate","Generate tests quickly for existing features using standard test patterns","bmm","_bmad/bmm/workflows/qa/automate/workflow.yaml"
"ios-project-intake","Import source documents, categorize content, create master digest, identify gaps, and generate project config for downstream IOS workflows","ios","_bmad/ios/workflows/0-intake/project-intake/workflow.md"
"ios-full-raise-orchestration","Auto-execute all IOS workflows in dependency order with progress tracking, context-aware checkpoints, and session resume capability","ios","_bmad/ios/workflows/0-orchestration/full-raise-orchestration/workflow.md"
"ios-create-raise-strategy","Create comprehensive capital raise strategy with regulation pathway and investor targeting","ios","_bmad/ios/workflows/1-discovery/create-raise-strategy/workflow.md"
"ios-create-strategic-foundation","Create strategic foundation with vision, mission, value proposition, and positioning","ios","_bmad/ios/workflows/1-discovery/create-strategic-foundation/workflow.md"
"ios-market-research-investment","TAM/SAM/SOM analysis and market dynamics for investment context","ios","_bmad/ios/workflows/1-discovery/market-research-investment/workflow.md"
"ios-competitive-analysis","Competitive landscape and differentiation analysis for investors","ios","_bmad/ios/workflows/1-discovery/competitive-analysis/workflow.md"
"ios-investor-targeting","Investor personas, outreach strategy, and targeting matrix","ios","_bmad/ios/workflows/1-discovery/investor-targeting/workflow.md"
"ios-deal-structure","Deal terms, instrument selection, and negotiation framework","ios","_bmad/ios/workflows/1-discovery/deal-structure/workflow.md"
"ios-tier-routing","Package tier recommendation based on needs assessment","ios","_bmad/ios/workflows/1-discovery/tier-routing/workflow.md"
"ios-create-engagement-plan","Project timeline, milestones, and resource allocation for engagement","ios","_bmad/ios/workflows/1-discovery/create-engagement-plan/workflow.md"
"ios-create-entity-structure","Legal entity architecture, jurisdiction selection, and governance structure","ios","_bmad/ios/workflows/2-legal/create-entity-structure/workflow.md"
"ios-regulatory-compliance-routing","Compliance requirements mapping and filing roadmap","ios","_bmad/ios/workflows/2-legal/regulatory-compliance-routing/workflow.md"
"ios-create-investment-docs","PPM, subscription agreements, operating agreements, and risk factors","ios","_bmad/ios/workflows/2-legal/create-investment-docs/workflow.md"
"ios-create-financial-model","12-tab institutional-grade financial model specification","ios","_bmad/ios/workflows/3-financial/create-financial-model/workflow.md"
"ios-create-valuation-report","9-point valuation analysis with multiple methodologies","ios","_bmad/ios/workflows/3-financial/create-valuation-report/workflow.md"
"ios-model-cap-table","Cap table with dilution waterfall and round modeling","ios","_bmad/ios/workflows/3-financial/model-cap-table/workflow.md"
"ios-validate-financial-model","Stress-test model integrity, assumptions, and calculations","ios","_bmad/ios/workflows/3-financial/validate-financial-model/workflow.md"
"ios-create-staffing-model","Organizational design and hiring plan linked to financials","ios","_bmad/ios/workflows/3-financial/create-staffing-model/workflow.md"
"ios-create-data-room","21+ document institutional-grade data room construction","ios","_bmad/ios/workflows/4-materials/create-data-room/workflow.md"
"ios-create-investor-narrative","Investment thesis and pitch narrative development","ios","_bmad/ios/workflows/4-materials/create-investor-narrative/workflow.md"
