content_type,funnel_stage,production_effort,shelf_life,seo_value,social_value,conversion_value,best_channel
"Blog Post (SEO)","TOFU","medium","12-24 months","high","medium","low","organic search"
"Blog Post (Thought Leadership)","TOFU","medium","6-12 months","medium","high","low","blog + social"
"Social Post","TOFU","low","1-7 days","low","high","low","social platforms"
"Video (Long-form)","MOFU","high","12-24 months","high","medium","medium","YouTube"
"Video (Short-form)","TOFU","medium","1-30 days","low","high","low","TikTok + Reels + Shorts"
"Podcast Episode","MOFU","medium","12+ months","medium","medium","low","podcast platforms"
"Email (Newsletter)","MOFU","low","single-use","none","low","medium","email"
"Email (Drip)","MOFU","medium","6-12 months","none","none","high","email automation"
"Landing Page","BOFU","medium","6-12 months","medium","none","high","paid + organic"
"Case Study","BOFU","high","12-24 months","medium","medium","high","website + sales"
"White Paper","MOFU","high","12-18 months","medium","low","high","gated download"
"Webinar","MOFU","high","3-6 months","low","medium","high","email + social"
"Infographic","TOFU","medium","6-12 months","medium","high","low","social + blog"
"Ad Creative","TOFU","medium","2-8 weeks","none","high","medium","paid channels"
"Press Release","TOFU","medium","1-3 months","low","low","low","PR distribution"
