module,phase,name,code,sequence,workflow-file,command,required,agent,options,description,output-location,outputs,
gos,0-intake,Project Intake,INT,1,_bmad/gos/workflows/0-intake/project-intake/workflow.md,bmad-agent-gos-master,false,gos-master,Create Mode,"Import source docs, categorize, create master digest, identify gaps, generate project config",growth_artifacts,"source digest, project config",
gos,0-orchestration,Full Growth Orchestration,ORCH,2,_bmad/gos/workflows/0-orchestration/full-growth-orchestration/workflow.md,bmad-agent-gos-master,false,gos-master,Create Mode,"Auto-execute all workflows in dependency order with progress tracking and session resume",gos-orchestration,"progress tracker, all workflow outputs",
gos,1-strategy,Create Growth Strategy,GS,10,_bmad/gos/workflows/1-strategy/create-growth-strategy/workflow.md,bmad-gos-create-growth-strategy,true,growth-strategist,Create Mode,"Full-funnel growth strategy with unit economics and channel prioritization",growth_artifacts,"growth strategy",
gos,1-strategy,Create Growth Model,GM,20,_bmad/gos/workflows/1-strategy/create-growth-model/workflow.md,bmad-gos-create-growth-model,true,growth-strategist,Create Mode,"Quantitative growth model with projections and scenario analysis",growth_artifacts,"growth model",
gos,1-strategy,Create Customer Personas,CP,30,_bmad/gos/workflows/1-strategy/create-customer-personas/workflow.md,bmad-gos-create-customer-personas,false,growth-strategist,Create Mode,"Detailed customer personas with pain points and buying behavior",growth_artifacts,"customer personas",
gos,1-strategy,Create Channel Strategy,CS,40,_bmad/gos/workflows/1-strategy/create-channel-strategy/workflow.md,bmad-gos-create-channel-strategy,false,growth-strategist,Create Mode,"Channel mix strategy with budget allocation and ROI projections",growth_artifacts,"channel strategy",
gos,1-strategy,Competitive Positioning,CX,50,_bmad/gos/workflows/1-strategy/competitive-positioning/workflow.md,bmad-gos-competitive-positioning,false,growth-strategist,Create Mode,"Competitive landscape analysis and differentiation strategy",growth_artifacts,"competitive positioning",
gos,1-strategy,Create Product Brand Voice,BV,60,_bmad/gos/workflows/1-strategy/create-product-brand-voice/workflow.md,bmad-gos-create-product-brand-voice,false,creative-director,Create Mode,"Product brand voice guidelines and messaging framework",growth_artifacts,"brand voice",
gos,2-content-engine,Create Content Strategy,CT,10,_bmad/gos/workflows/2-content-engine/create-content-strategy/workflow.md,bmad-gos-create-content-strategy,true,content-architect,Create Mode,"Content strategy mapped to funnel stages and channels",content_calendar,"content strategy",
gos,2-content-engine,Create SEO Strategy,SE,20,_bmad/gos/workflows/2-content-engine/create-seo-strategy/workflow.md,bmad-gos-create-seo-strategy,false,seo-strategist,Create Mode,"Technical and content SEO strategy with keyword targeting",growth_artifacts,"seo strategy",
gos,2-content-engine,Create Blog Content,BC,30,_bmad/gos/workflows/2-content-engine/create-blog-content/workflow.md,bmad-gos-create-blog-content,false,content-architect,Create Mode,"SEO-optimized blog posts with keyword targeting data",content_calendar,"blog content",
gos,2-content-engine,Create Social Content,SC,40,_bmad/gos/workflows/2-content-engine/create-social-content/workflow.md,bmad-gos-create-social-content,false,social-commander,Create Mode,"Platform-native social media content calendar and posts",content_calendar,"social content",
gos,2-content-engine,Create Email Sequences,ES,50,_bmad/gos/workflows/2-content-engine/create-email-sequences/workflow.md,bmad-gos-create-email-sequences,false,email-architect,Create Mode,"Email nurture and lifecycle sequences with automation logic",content_calendar,"email sequences",
gos,2-content-engine,Create Video Content,VC,60,_bmad/gos/workflows/2-content-engine/create-video-content/workflow.md,bmad-gos-create-video-content,false,content-architect,Create Mode,"Video content strategy with scripts and production plans",content_calendar,"video content",
gos,2-content-engine,Create Podcast Plan,PP,70,_bmad/gos/workflows/2-content-engine/create-podcast-plan/workflow.md,bmad-gos-create-podcast-plan,false,content-architect,Create Mode,"Podcast strategy with episode planning and guest framework",content_calendar,"podcast plan",
gos,3-distribution,Create Social Campaigns,SM,10,_bmad/gos/workflows/3-distribution/create-social-campaigns/workflow.md,bmad-gos-create-social-campaigns,false,social-commander,Create Mode,"Social media campaign strategy with platform-specific tactics",campaign_artifacts,"social campaigns",
gos,3-distribution,Create Paid Campaigns,PC,20,_bmad/gos/workflows/3-distribution/create-paid-campaigns/workflow.md,bmad-gos-create-paid-campaigns,false,paid-acquisition,Create Mode,"Paid media campaign structure with targeting and creative briefs",campaign_artifacts,"paid campaigns",
gos,3-distribution,Launch Campaign,LC,30,_bmad/gos/workflows/3-distribution/launch-campaign/workflow.md,bmad-gos-launch-campaign,false,paid-acquisition,Create Mode,"Campaign launch checklist and execution plan",campaign_artifacts,"launch plan",
gos,3-distribution,Create PR Campaign,PR,40,_bmad/gos/workflows/3-distribution/create-pr-campaign/workflow.md,bmad-gos-create-pr-campaign,false,outreach-director,Create Mode,"PR campaign strategy with media outreach and press materials",campaign_artifacts,"pr campaign",
gos,3-distribution,Create Partner Program,PA,50,_bmad/gos/workflows/3-distribution/create-partner-program/workflow.md,bmad-gos-create-partner-program,false,outreach-director,Create Mode,"Partnership program framework with co-marketing strategy",campaign_artifacts,"partner program",
